kondisi,parameter,model,accuracy,auc,delta_auc
Clean,-,E-1,0.916500,0.988092,0.000000
Clean,-,E-2,0.953500,0.989832,0.000000
Clean,-,E-3,0.869500,0.984085,0.000000
JPEG,30,E-1,0.919500,0.977021,0.011071
JPEG,30,E-2,0.922500,0.977232,0.012600
JPEG,30,E-3,0.854500,0.953439,0.030647
JPEG,50,E-1,0.925500,0.985211,0.002880
JPEG,50,E-2,0.942000,0.986618,0.003215
JPEG,50,E-3,0.878500,0.975782,0.008303
JPEG,70,E-1,0.892500,0.983307,0.004785
JPEG,70,E-2,0.944500,0.985827,0.004005
JPEG,70,E-3,0.855000,0.976795,0.007291
Noise,10,E-1,0.543500,0.934303,0.053789
Noise,10,E-2,0.735500,0.929708,0.060124
Noise,10,E-3,0.572500,0.874794,0.109291
Noise,25,E-1,0.674500,0.610520,0.377571
Noise,25,E-2,0.675500,0.591657,0.398176
Noise,25,E-3,0.625500,0.578480,0.405605
Noise,50,E-1,0.589500,0.530099,0.457993
Noise,50,E-2,0.414500,0.511531,0.478301
Noise,50,E-3,0.650500,0.479482,0.504604
Blur,3,E-1,0.923500,0.987933,0.000159
Blur,3,E-2,0.949000,0.988869,0.000963
Blur,3,E-3,0.872500,0.983830,0.000255
Blur,5,E-1,0.924000,0.986907,0.001185
Blur,5,E-2,0.943500,0.987544,0.002289
Blur,5,E-3,0.862000,0.982455,0.001630
Blur,7,E-1,0.921000,0.983866,0.004226
Blur,7,E-2,0.939000,0.984314,0.005518
Blur,7,E-3,0.846000,0.979804,0.004282
Downscale,0.5,E-1,0.927500,0.986932,0.001159
Downscale,0.5,E-2,0.943000,0.987698,0.002135
Downscale,0.5,E-3,0.865500,0.982457,0.001628
Downscale,0.25,E-1,0.930000,0.983881,0.004211
Downscale,0.25,E-2,0.935500,0.984143,0.005689
Downscale,0.25,E-3,0.859500,0.975608,0.008478
Occlusion,0.3,E-1,0.746500,0.968313,0.019778
Occlusion,0.3,E-2,0.901000,0.975338,0.014494
Occlusion,0.3,E-3,0.653000,0.971543,0.012543
Occlusion,0.5,E-1,0.711000,0.938802,0.049290
Occlusion,0.5,E-2,0.869000,0.952950,0.036882
Occlusion,0.5,E-3,0.516000,0.935607,0.048479
Occlusion,0.7,E-1,0.649500,0.846282,0.141810
Occlusion,0.7,E-2,0.789000,0.860969,0.128864
Occlusion,0.7,E-3,0.380000,0.822873,0.161212
